Economy,Year,GDP (annual % growth),Individuals using the Internet (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Government Effectiveness: Estimate,Regulatory Quality: Estimate,Economic and Social Rights Performance Score,Voice and Accountability: Estimate,"Patent applications, residents",Research and development expenditure (% of GDP),Scientific and technical journal articles,Control of Corruption: Estimate,Net migration,Political Stability and Absence of Violence/Terrorism: Estimate,Rule of Law: Estimate
Estonia,2016,3.093,87.2,23.7624,80.3399,1.0045,1.0546,1.688,4.87,1.2082,29.0,1.2431,1575.25,1.2311,1081.0,0.6628,1.1926
Estonia,2017,5.6347,88.1,26.7327,80.8389,1.0118,1.0723,1.634,4.86,1.2145,37.0,1.2768,1589.67,1.2026,5202.0,0.6424,1.2485
Estonia,2018,3.6997,89.4,26.7327,81.0164,1.0158,1.1506,1.5448,4.86,1.1902,24.0,1.41,1503.59,1.4685,7089.0,0.5804,1.2035
Estonia,2019,3.7266,90.2,29.703,82.0737,1.022,1.1398,1.5801,4.86,1.1793,31.0,1.6206,1694.02,1.5252,5386.0,0.6302,1.2427
Estonia,2020,-2.8838,89.1,28.7129,81.8419,1.0241,1.299,1.5295,4.86,1.1672,21.0,1.7531,1794.38,1.5808,3694.0,0.7098,1.3351
Finland,2012,-1.5228,89.9,42.5,87.9708,1.0219,2.2103,1.8216,4.9,1.6007,1698.0,3.3983,10587.78,2.2268,17894.0,1.4008,1.944
Finland,2013,-0.9797,91.5,42.5,88.4362,1.0543,2.1806,1.8417,4.9,1.5736,1596.0,3.2714,10837.45,2.2002,18164.0,1.3852,1.9557
Finland,2014,-0.4781,86.5,42.5,88.6895,1.0568,2.025,1.8777,4.9,1.5418,1419.0,3.1475,11283.46,2.1593,15915.0,1.2822,2.1248
Finland,2015,0.4665,86.4,41.5,88.9686,1.0572,1.8432,1.8257,4.9,1.5437,1289.0,2.872,11122.9,2.2156,12655.0,1.028,2.053
Finland,2016,2.5719,87.7,41.5,88.2961,1.0576,1.8416,1.8066,4.9,1.5321,1260.0,2.7244,11298.48,2.1863,17321.0,0.9826,2.0077
Finland,2017,3.3034,87.5,42.0,88.0998,1.0563,1.9773,1.8123,4.89,1.5595,1390.0,2.7279,10979.67,2.1623,13356.0,1.0638,2.0241
Finland,2018,1.193,88.9,42.0,88.2815,1.0579,2.0139,1.7791,4.89,1.5894,1387.0,2.7575,11150.48,2.1718,11822.0,0.8919,2.0344
